source,destination,permanent,enabled,reason,queueOrder
/product/pc-karaoke-4tb-60000-lagu-film-audiobank-kjb-nakamichi-geisler,/products/pc-karaoke-4tb-60000-lagu-film-audiobank-kjb-nakamichi-geisler,true,true,product_singular_to_plural,94
/product/pc-rakitan-gaming-ryzen-5-2200g-8gb-500gb-rakit-pc-surabaya-2,/products/pc-rakitan-gaming-ryzen-5-2200g-8gb-500gb-rakit-pc-surabaya-2,true,true,product_singular_to_plural,95
/pembuatan-website/sekolah,/services/jasa-pembuatan-website-surabaya,true,true,landing_cluster_to_service_canonical,96
/product-tag/jual-komputer-rakitan-murah-bondowoso,/products/category/jual-komputer-rakitan-murah-bondowoso,true,true,product_tag_to_products_category,97
/product/pc-rakitan-core-i3-2gb-500gb-low-budget-rakit-pc-office-admin,/products/pc-rakitan-core-i3-2gb-500gb-low-budget-rakit-pc-office-admin,true,true,product_singular_to_plural,98
/posts/server-maintenance-surabaya,/blog/server-maintenance-surabaya,true,true,legacy_posts_to_blog,99
/product/hardisk-internal-2tb-40-ribu-lagu-karaoke-klipasli-update-soft-0,/products/hardisk-internal-2tb-40-ribu-lagu-karaoke-klipasli-update-soft-0,true,true,product_singular_to_plural,100
/product-tag/jual-komputer-rakitan-murah-jombang/page/2,/products/category/jual-komputer-rakitan-murah-jombang,true,true,product_tag_to_products_category,102
/product/pc-rakitan-gaming-core-i5-2400-8gb-500gb-with-nvidia-gt-1030-2gb-ddr5,/products/pc-rakitan-gaming-core-i5-2400-8gb-500gb-with-nvidia-gt-1030-2gb-ddr5,true,true,product_singular_to_plural,103
/product/pc-rakitan-core-i3-4gb-500gb-siap-pakai-untuk-office-admin,/products/pc-rakitan-core-i3-4gb-500gb-siap-pakai-untuk-office-admin,true,true,product_singular_to_plural,104
/product-tag/jasa-rakit-pc-sidoarjo,/products/category/jasa-rakit-pc-sidoarjo,true,true,product_tag_to_products_category,105
/product/pc-karaoke-4tb-slim-monitor-touchscreen-paket-bmb-speaker,/products/pc-karaoke-4tb-slim-monitor-touchscreen-paket-bmb-speaker,true,true,product_singular_to_plural,106
/product/pc-karaoke-2tb-slim-monitor-touchscreen-paket-bmb-speaker,/products/pc-karaoke-2tb-slim-monitor-touchscreen-paket-bmb-speaker,true,true,product_singular_to_plural,107
/posts/panduan-memilih-sistem-pos-untuk-umkm,/blog/panduan-memilih-sistem-pos-untuk-umkm,true,true,legacy_posts_to_blog,108
/product-tag/jual-komputer-rakitan-murah-nganjuk,/products/category/jual-komputer-rakitan-murah-nganjuk,true,true,product_tag_to_products_category,109
/product/pc-amd-ryzen-5-ram-32gb-ssd-512gb-monitor-27inc,/products/pc-amd-ryzen-5-ram-32gb-ssd-512gb-monitor-27inc,true,true,product_singular_to_plural,110
/product-tag/jual-pc-rakitan-murah-jember,/products/category/jual-pc-rakitan-murah-jember,true,true,product_tag_to_products_category,111
/product-tag/jual-pc-rakitan-murah-blitar,/products/category/jual-pc-rakitan-murah-blitar,true,true,product_tag_to_products_category,113
/product/pc-rakitan-player-karaoke-4tb-60-000-lagu-bukan-geisler-nakamichi,/products/pc-rakitan-player-karaoke-4tb-60-000-lagu-bukan-geisler-nakamichi,true,true,product_singular_to_plural,114
/posts/konsultan-it-sidoarjo-terpercaya,/blog/konsultan-it-sidoarjo-terpercaya,true,true,legacy_posts_to_blog,115
/product/pc-karaoke-4tb-monitor-touchscreen-audiobank-kjb-nakamichi-geisler,/products/pc-karaoke-4tb-monitor-touchscreen-audiobank-kjb-nakamichi-geisler,true,true,product_singular_to_plural,116
/percetakan/cetak-undangan,/services/printing-services,true,true,printing_cluster_to_service_canonical,117
/product-tag/jual-komputer-rakitan-murah-trenggalek/page/2,/products/category/jual-komputer-rakitan-murah-trenggalek,true,true,product_tag_to_products_category,118
/product/pc-karaoke-4tb-slim-60000-lagu-film-audiobank-kjb-nakamichi-geisler,/products/pc-karaoke-4tb-slim-60000-lagu-film-audiobank-kjb-nakamichi-geisler,true,true,product_singular_to_plural,119
/product/paket-speaker-karaoke-bob-audio-8inc-power-amplifier-bt-2750,/products/paket-speaker-karaoke-bob-audio-8inc-power-amplifier-bt-2750,true,true,product_singular_to_plural,120
/product-tag/jual-komputer-rakitan-murah-ngawi,/products/category/jual-komputer-rakitan-murah-ngawi,true,true,product_tag_to_products_category,123
/product-tag/jual-pc-rakitan-murah-situbondo/page/2,/products/category/jual-pc-rakitan-murah-situbondo,true,true,product_tag_to_products_category,124
/product-tag/jual-pc-rakitan-murah-ngawi,/products/category/jual-pc-rakitan-murah-ngawi,true,true,product_tag_to_products_category,125
/product-tag/jual-komputer-rakitan-murah-probolinggo/page/2,/products/category/jual-komputer-rakitan-murah-probolinggo,true,true,product_tag_to_products_category,126
/product/pc-rakitan-core-2-duo-500gb-rakit-pc-office-surabaya,/products/pc-rakitan-core-2-duo-500gb-rakit-pc-office-surabaya,true,true,product_singular_to_plural,127
/product/pc-core-i7-4xxx-fullset-ram-4gb-hdd500gb-led-24in-lg-hdmi,/products/pc-core-i7-4xxx-fullset-ram-4gb-hdd500gb-led-24in-lg-hdmi,true,true,product_singular_to_plural,128
/product-tag/jual-pc-rakitan-murah-gresik,/products/category/jual-pc-rakitan-murah-gresik,true,true,product_tag_to_products_category,129
/service/cloud-services,/services/cloud-services,true,true,service_namespace_merge,130
/product/pc-intel-core-i7-ram-16gb-ssd-256gb-casing-slim-enlight,/products/pc-intel-core-i7-ram-16gb-ssd-256gb-casing-slim-enlight,true,true,product_singular_to_plural,132
/product/pc-intel-core-i7-6700-ram-ddr4-32gb-ssd-1tb,/products/pc-intel-core-i7-6700-ram-ddr4-32gb-ssd-1tb,true,true,product_singular_to_plural,133
/product-tag/jual-pc-rakitan-murah-trenggalek,/products/category/jual-pc-rakitan-murah-trenggalek,true,true,product_tag_to_products_category,134
/posts/coworking-space-tech-surabaya,/blog/coworking-space-tech-surabaya,true,true,legacy_posts_to_blog,135
/product/pc-intel-core-i7-10700f-ram-16gb-vga-rx-8-gb-ssd-512gb-hdd-1tb,/products/pc-intel-core-i7-10700f-ram-16gb-vga-rx-8-gb-ssd-512gb-hdd-1tb,true,true,product_singular_to_plural,136
/product/pc-fullset-standart-office-19in-lg-i5-gen2-ram-8gb-ddr3,/products/pc-fullset-standart-office-19in-lg-i5-gen2-ram-8gb-ddr3,true,true,product_singular_to_plural,137
/product-tag/jual-komputer-rakitan-murah-jombang,/products/category/jual-komputer-rakitan-murah-jombang,true,true,product_tag_to_products_category,138
/product-tag/jual-komputer-rakitan-murah-banyuwangi/page/2,/products/category/jual-komputer-rakitan-murah-banyuwangi,true,true,product_tag_to_products_category,139
/digital-product/list-software,/products/category/karaoke,true,true,legacy_digital_product_to_products_category,140
/product-tag/jual-pc-rakitan-murah-kediri,/products/category/jual-pc-rakitan-murah-kediri,true,true,product_tag_to_products_category,141
/product/pc-rakitan-admin-kantor-office-standart-i5-gen-2-siap-kerja,/products/pc-rakitan-admin-kantor-office-standart-i5-gen-2-siap-kerja,true,true,product_singular_to_plural,143
/tag/service-mac-gresik,/services/it-support,true,true,legacy_tag_it_support_intent_to_service,145
/product-tag/jasa-rakit-pc-surabaya/page/2,/products/category/jasa-rakit-pc-surabaya,true,true,product_tag_to_products_category,146
/product/pc-gaming-ryzen-5-ram-16gb-ddr4-ssd-512gb,/products/pc-gaming-ryzen-5-ram-16gb-ddr4-ssd-512gb,true,true,product_singular_to_plural,147
/product/pc-karaoke-1tb-15000-lagu-not-audiobank-kjb-nakamichi-geisler,/products/pc-karaoke-1tb-15000-lagu-not-audiobank-kjb-nakamichi-geisler,true,true,product_singular_to_plural,148
/product/led-monitor-lg-18-5-inch-19m38a,/products/led-monitor-lg-18-5-inch-19m38a,true,true,product_singular_to_plural,149
/product-tag/jual-pc-rakitan-murah-batu-malang,/products/category/jual-pc-rakitan-murah-batu-malang,true,true,product_tag_to_products_category,150
/product/pc-intel-core-i5-ram-8gb-vga-gtx-750-4gb-ddr5-ssd-512gb,/products/pc-intel-core-i5-ram-8gb-vga-gtx-750-4gb-ddr5-ssd-512gb,true,true,product_singular_to_plural,151
/product-tag/jual-pc-rakitan-murah-banyuwangi,/products/category/jual-pc-rakitan-murah-banyuwangi,true,true,product_tag_to_products_category,152
/service/data-security,/services/data-security,true,true,service_namespace_merge,154
/product-tag/jual-pc-rakitan-murah-jember/page/2,/products/category/jual-pc-rakitan-murah-jember,true,true,product_tag_to_products_category,155
/product-tag/jual-komputer-rakitan-murah-batu-malang/page/2,/products/category/jual-komputer-rakitan-murah-batu-malang,true,true,product_tag_to_products_category,156
/product-tag/jual-pc-rakitan-murah-probolinggo,/products/category/jual-pc-rakitan-murah-probolinggo,true,true,product_tag_to_products_category,157
/projects,/services,true,true,project_index_to_services_listing,158
/posts/jasa-it-support-surabaya-terpercaya,/blog/jasa-it-support-surabaya-terpercaya,true,true,legacy_posts_to_blog,161
/shop/page/6,/blog,true,true,pagination_to_canonical_listing,162
/product-tag/jual-pc-rakitan-murah-lamongan,/products/category/jual-pc-rakitan-murah-lamongan,true,true,product_tag_to_products_category,163
/tag/service-macbook-murah-situbondo,/services/it-support,true,true,legacy_tag_it_support_intent_to_service,164
/product/pc-core-g620-fullset-ram-4gb-hdd-500gb-led-24-in-lg-hdmi,/products/pc-core-g620-fullset-ram-4gb-hdd-500gb-led-24-in-lg-hdmi,true,true,product_singular_to_plural,165
/product-category/rakit-pc/page/5,/blog,true,true,pagination_to_canonical_listing,166
/product-category/karaoke/player-karaoke,/products/category/karaoke,true,true,legacy_product_category_to_products_category,167
/posts/backup-recovery-sistem-surabaya,/blog/backup-recovery-sistem-surabaya,true,true,legacy_posts_to_blog,168
/posts/software-development-surabaya-terbaik,/blog/software-development-surabaya-terbaik,true,true,legacy_posts_to_blog,169
/product-category/rakit-pc/rakit-pc-graphic/page/2,/blog,true,true,pagination_to_canonical_listing,170
/product-tag/jual-pc-rakitan-murah-sumenep,/products/category/jual-pc-rakitan-murah-sumenep,true,true,product_tag_to_products_category,171
/tag/jasa-recovery-data-laptop-murah-mojokerto,/services/it-support,true,true,legacy_tag_it_support_intent_to_service,172
