queueOrder,page,oldPath,clicks,impressions,priorityScore,legacyType,suggestedTargetPath,proposedTargetPath,decisionType,reasonCode,confidence,curationStatus,reviewerNotes
60,https://www.kotacom.id/product/rakit-pc-core-i3-2120-4gb-500gb-pc-rakitan-surabaya,/product/rakit-pc-core-i3-2120-4gb-500gb-pc-rakitan-surabaya,0,43,10.92,other_nested,,/products/rakit-pc-core-i3-2120-4gb-500gb-pc-rakitan-surabaya,redirect,product_singular_to_plural,medium,pending_review,
61,https://www.kotacom.id/product/kalender-dinding-2,/product/kalender-dinding-2,0,43,8.57,other_nested,,/products/kalender-dinding-2,redirect,product_singular_to_plural,medium,pending_review,
62,https://www.kotacom.id/shop/page/5,/shop/page/5,0,43,8.57,other_nested,,/blog,redirect,pagination_to_canonical_listing,low,pending_review,
63,https://www.kotacom.id/product-tag/jual-komputer-rakitan-murah-banyuwangi,/product-tag/jual-komputer-rakitan-murah-banyuwangi,1,42,19.72,other_nested,,/products/category/jual-komputer-rakitan-murah-banyuwangi,redirect,product_tag_to_products_category,medium,pending_review,
64,https://www.kotacom.id/posts/smart-city-surabaya-teknologi,/posts/smart-city-surabaya-teknologi,1,41,15.51,other_nested,,/blog/smart-city-surabaya-teknologi,redirect,legacy_posts_to_blog,high,pending_review,
65,https://www.kotacom.id/product-tag/jual-komputer-rakitan-murah-ngawi/page/2,/product-tag/jual-komputer-rakitan-murah-ngawi/page/2,1,41,11.04,other_nested,,/products/category/jual-komputer-rakitan-murah-ngawi,redirect,product_tag_to_products_category,medium,pending_review,
66,https://www.kotacom.id/product/rakit-pc-core-i5-4gb-500gb-pc-rakitan-office-surabaya,/product/rakit-pc-core-i5-4gb-500gb-pc-rakitan-office-surabaya,1,41,11.02,other_nested,,/products/rakit-pc-core-i5-4gb-500gb-pc-rakitan-office-surabaya,redirect,product_singular_to_plural,medium,pending_review,
67,https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-magetan-pamekasan,/product-tag/jual-pc-rakitan-murah-magetan-pamekasan,0,38,15.7,other_nested,,/products/category/jual-pc-rakitan-murah-magetan-pamekasan,redirect,product_tag_to_products_category,medium,pending_review,
68,https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-madura/page/2,/product-tag/jual-pc-rakitan-murah-madura/page/2,0,38,15.15,other_nested,,/products/category/jual-pc-rakitan-murah-madura,redirect,product_tag_to_products_category,medium,pending_review,
69,https://www.kotacom.id/posts/toko-online-surabaya,/posts/toko-online-surabaya,0,38,14.69,other_nested,,/blog/toko-online-surabaya,redirect,legacy_posts_to_blog,high,pending_review,
70,https://www.kotacom.id/shop/page/8,/shop/page/8,0,36,8.27,other_nested,,/blog,redirect,pagination_to_canonical_listing,low,pending_review,
71,https://www.kotacom.id/product-tag/jual-komputer-rakitan-gresik/page/2,/product-tag/jual-komputer-rakitan-gresik/page/2,2,34,21.15,other_nested,,/products/category/jual-komputer-rakitan-gresik,redirect,product_tag_to_products_category,medium,pending_review,
72,https://www.kotacom.id/product-category/karaoke,/product-category/karaoke,0,34,15.79,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,
73,https://www.kotacom.id/projects/it-infrastructure-upgrade,/projects/it-infrastructure-upgrade,0,34,14.09,project_detail,/services,/projects/it-infrastructure-upgrade,keep_or_redirect,projects_direct,medium,pending_review,
74,https://www.kotacom.id/product/kalender-dinding,/product/kalender-dinding,0,34,8.18,other_nested,,/products/kalender-dinding,redirect,product_singular_to_plural,medium,pending_review,
75,https://www.kotacom.id/product/hardisk-internal-1tb-20-ribu-lagu-karaoke-plus-software-karaok-0,/product/hardisk-internal-1tb-20-ribu-lagu-karaoke-plus-software-karaok-0,1,33,15.48,other_nested,,/products/hardisk-internal-1tb-20-ribu-lagu-karaoke-plus-software-karaok-0,redirect,product_singular_to_plural,medium,pending_review,
76,https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-madura,/product-tag/jual-pc-rakitan-murah-madura,0,33,13.07,other_nested,,/products/category/jual-pc-rakitan-murah-madura,redirect,product_tag_to_products_category,medium,pending_review,
77,https://www.kotacom.id/tag/jasa-recovery-data-laptop-murah-madiun,/tag/jasa-recovery-data-laptop-murah-madiun,0,33,8.13,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,
78,https://www.kotacom.id/projects/law-firm-case-management,/projects/law-firm-case-management,1,32,16.01,project_detail,/services,/projects/law-firm-case-management,keep_or_redirect,projects_direct,medium,pending_review,
79,https://www.kotacom.id/projects/website-toko-online-umkm,/projects/website-toko-online-umkm,0,32,13.32,project_detail,/services,/projects/website-toko-online-umkm,keep_or_redirect,projects_direct,medium,pending_review,
80,https://www.kotacom.id/shop/page/3,/shop/page/3,0,31,14.63,other_nested,,/blog,redirect,pagination_to_canonical_listing,low,pending_review,
81,https://www.kotacom.id/product/hardisk-eksternal-4tb-full-film-hd-game-pc-konser-musik-fitnes-0,/product/hardisk-eksternal-4tb-full-film-hd-game-pc-konser-musik-fitnes-0,0,31,14.22,other_nested,,/products/hardisk-eksternal-4tb-full-film-hd-game-pc-konser-musik-fitnes-0,redirect,product_singular_to_plural,medium,pending_review,
82,https://www.kotacom.id/product/hardisk-eksternal-1tb-full-isi-film-hd-game-pc-dan-lainnya-0,/product/hardisk-eksternal-1tb-full-isi-film-hd-game-pc-dan-lainnya-0,0,31,11.33,other_nested,,/products/hardisk-eksternal-1tb-full-isi-film-hd-game-pc-dan-lainnya-0,redirect,product_singular_to_plural,medium,pending_review,
83,https://www.kotacom.id/product/pc-intel-core-i7-monitor,/product/pc-intel-core-i7-monitor,0,31,7.92,other_nested,,/products/pc-intel-core-i7-monitor,redirect,product_singular_to_plural,medium,pending_review,
84,https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-nganjuk/page/2,/product-tag/jual-pc-rakitan-murah-nganjuk/page/2,4,30,24.37,other_nested,,/products/category/jual-pc-rakitan-murah-nganjuk,redirect,product_tag_to_products_category,medium,pending_review,
85,https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-blitar/page/2,/product-tag/jual-pc-rakitan-murah-blitar/page/2,3,30,18.63,other_nested,,/products/category/jual-pc-rakitan-murah-blitar,redirect,product_tag_to_products_category,medium,pending_review,
86,https://www.kotacom.id/product/low-budget-pc-rakitan-gaming-core-i5-2400-8gb-1030-2gb-rakit-pc-2,/product/low-budget-pc-rakitan-gaming-core-i5-2400-8gb-1030-2gb-rakit-pc-2,1,30,10.61,other_nested,,/products/low-budget-pc-rakitan-gaming-core-i5-2400-8gb-1030-2gb-rakit-pc-2,redirect,product_singular_to_plural,medium,pending_review,
